Bucket,Month,ConvArea,GeoArea,Delta,SpComplexity,SpDensity,Service_Time
1,1,248.84802789904785,0.5890456125707904,8.767454058848093,0.0004583447886178579,0.006822080992643965,254.5026957070707
2,1,232.50812367280264,0.5224967097545113,9.436277505488315,0.00045578619214248423,0.008231487226488058,12.922854938271604
3,1,281.77151554902406,0.5615739916541682,9.809181706611515,0.00036180130795921474,0.006319692194091493,22.367083333333333
4,1,242.29854823040293,0.5968924834403738,9.586076341243652,0.00043053484322994436,0.006914377361530123,91.59006018518521
5,1,251.06295791785243,0.6897025238054142,9.423966010308277,0.00042265270005110734,0.005775047273236305,125.26671296296293
6,1,270.93211387088274,0.6088761735101037,9.384033544146423,0.0003933235614970963,0.006061924666084248,102.18490625000001
7,1,267.7052754860225,0.7575803930051968,9.762016774094755,0.00038265158872726216,0.004930765450477962,160.90156084656084
8,1,257.1358779952154,0.6679967291847091,9.642235057072568,0.0004033291469843291,0.005821876471368349,79.54659027777775
9,1,250.13940830083655,0.614765147803467,9.589839630394227,0.00041687565844604447,0.00650292347345397,85.73633101851856
10,1,261.19531572175237,0.6649894126224879,10.367210079505218,0.0003692943956048604,0.005757313586875031,89.77882716049383
11,1,257.35756994125217,0.6295211074934818,9.973882623805778,0.0003895819256000324,0.006172381437315334,26.683441358024695
12,1,249.9444593773939,0.5132260515417777,9.562407281538588,0.00041839766176394387,0.0077955685129607565,69.73981944444445
13,1,250.69199821212902,0.5969795802589526,10.145000679440084,0.0003931945119758075,0.006681901229211866,131.16253703703703
14,1,285.22978139201797,0.6660972848127603,10.121687709414793,0.0003463795130184449,0.005263413227539871,63.889917989417974
15,1,232.3767025543762,0.5704072360314736,9.575871677784956,0.000449395891458893,0.007544359743880752,22.582435185185183
16,1,252.23300697320482,0.5997745107436433,9.671377177709044,0.0004099300559657049,0.006610131168808975,40.83724629629629
17,1,248.1713497844683,0.5160297094895607,9.129772516288956,0.0004413553554331005,0.007808608535225394,107.95749074074077
18,1,256.23818930517757,0.43594072694358116,9.326917591869588,0.000418425365043695,0.00895217780057417,22.12730555555556
19,1,222.48755028121232,0.45595771654581296,9.060855824330913,0.000496049556620547,0.009857566504876654,117.79710185185186
20,1,228.21801418426693,0.5157430654383985,9.242116595187808,0.0004741094750993429,0.008496042586683671,87.99354629629629
21,1,224.40033459750651,0.5132744318049478,9.29462047243791,0.0004794516736040601,0.008682141686571263,48.571060185185196
22,1,273.2454009543502,0.5431490112948942,9.847064118592488,0.0003716553365817265,0.0067379556129769855,66.10994444444445
23,1,288.52832702025654,0.5407316762406862,10.655810726758363,0.0003252557962299459,0.006409582339438705,52.436101851851845
24,1,241.04404295739513,0.5395173173694696,9.827687835827073,0.0004221358572731836,0.007689501886274139,110.01839814814817
25,1,269.0639942892742,0.5788026860569997,9.66725830462929,0.00038445108600298637,0.006421165698460692,190.76641666666666
26,1,249.599308221557,0.5907500527481677,9.636040483043644,0.0004157746501221519,0.006781922983777151,73.8872916666667
27,1,250.6673433870817,0.6198086112261028,9.55340884973543,0.00041758402627740726,0.006436423857124246,179.53463939279416
28,1,237.3586005687226,0.6035256039449571,9.93248998411063,0.0004241670135289597,0.006980705683284894,96.3403373015873
29,1,264.47407826500904,0.6298627235179511,10.086598575902467,0.00037486263235811184,0.006003036459411333,112.38726851851854
30,1,298.510354574849,0.637154479896026,9.700302960547774,0.00034534669274999567,0.005257700686095512,102.6996412037037
31,1,275.1200493675572,0.621352845851613,9.315429466785146,0.00039018887023397237,0.0058497791128765235,86.48521825396826
32,1,254.42128561715882,0.5840644027176083,9.571440580058129,0.00041064756278538127,0.006729546824387335,41.897998148148154
